,X0,X1,X2,X3
247,-5.61568,-5.51417,-1.77455,-4.50862
248,-5.86984,-5.42588,-1.74243,-4.50823
249,-5.15719,-5.55131,-1.79994,-4.44935
250,-5.27961,-5.46299,-1.72014,-4.53085
251,-5.56091,-5.50655,-1.73118,-4.43392
252,-4.93516,-5.49454,-1.7861,-4.49403
253,-5.29016,-5.28065,-1.84116,-4.55589
254,-5.31082,-5.58515,-1.69156,-4.46614
255,-5.44017,-5.48715,-1.77581,-4.42204
256,-5.49505,-5.37504,-1.78906,-4.45282
257,-5.52168,-5.35205,-1.77762,-4.45573
258,-5.06213,-5.55916,-1.78175,-4.5196
259,-4.97438,-5.47942,-1.755,-4.51434
260,-5.01311,-5.50004,-1.73927,-4.55465
261,-5.29908,-5.52169,-1.80645,-4.46763
262,-5.22297,-5.54984,-1.80349,-4.47565
263,-5.62336,-5.38731,-1.65942,-4.50063
264,-5.03685,-5.44389,-1.96655,-4.46963
265,-5.55706,-5.50475,-1.56545,-4.59447
266,-5.16024,-5.46095,-1.92829,-4.4695
267,-5.40217,-5.57907,-1.64979,-4.47941
268,-5.60851,-5.39849,-1.66943,-4.57746
269,-5.19595,-5.57673,-1.87052,-4.44022
270,-5.44878,-5.34248,-1.61027,-4.66567
271,-5.53283,-5.41518,-1.58897,-4.62986
272,-5.26349,-5.49526,-1.87075,-4.41301
273,-5.2081,-5.55241,-1.81691,-4.47285
274,-5.22783,-5.4425,-1.73583,-4.48909
275,-5.26414,-5.4894,-1.74859,-4.4832
276,-5.29479,-5.49861,-1.78347,-4.43854
277,-5.65529,-5.41785,-1.60539,-4.48377
278,-5.49387,-5.42683,-1.63625,-4.40089
279,-5.28191,-5.51837,-1.74656,-4.51447
280,-5.18663,-5.52383,-1.69369,-4.52368
281,-5.39149,-5.45529,-1.72315,-4.49158
282,-5.3232,-5.53416,-1.77199,-4.45396
283,-5.69916,-5.31873,-1.83815,-4.37923
284,-5.48945,-5.3449,-1.81916,-4.53382
285,-5.42012,-5.3559,-1.82412,-4.41347
286,-5.16593,-5.41059,-1.71291,-4.62998
287,-5.3936,-5.54511,-1.73607,-4.37715
288,-5.20826,-5.39237,-1.85451,-4.62359
289,-5.44759,-5.54755,-1.66246,-4.36505
290,-5.50133,-5.42833,-1.70975,-4.45038
291,-5.33065,-5.57354,-1.74743,-4.55795
292,-5.23806,-5.59912,-1.73203,-4.57176
293,-5.49829,-5.45569,-1.68949,-4.36801
294,-5.28054,-5.51649,-1.82927,-4.58581
295,-5.2935,-5.49444,-1.75907,-4.3879
296,-5.38178,-5.44911,-1.74445,-4.60575
297,-5.28993,-5.46947,-1.82239,-4.50686
298,-5.27739,-5.58368,-1.73808,-4.60865
299,-5.48946,-5.41877,-1.76752,-4.42434
300,-5.27177,-5.62471,-1.71827,-4.56851
301,-5.43893,-5.61847,-1.72566,-4.60643
302,-5.65372,-5.4245,-1.72622,-4.37871
303,-5.53275,-5.5517,-1.72581,-4.61859
304,-5.53999,-5.35692,-1.70155,-4.51746
305,-5.37548,-5.50748,-1.81495,-4.56711
306,-5.35177,-5.45822,-1.65888,-4.46862
307,-5.08187,-5.48761,-1.87499,-4.55045
308,-5.62745,-5.44275,-1.67024,-4.37358
309,-5.80496,-5.46312,-1.64268,-4.40907
310,-5.75845,-5.45071,-1.85585,-4.47041
311,-5.39366,-5.47373,-1.7465,-4.47577
312,-5.28264,-5.47885,-1.79531,-4.51744
313,-5.14535,-5.47007,-1.81496,-4.57076
314,-5.38547,-5.46029,-1.71253,-4.51843
315,-5.36844,-5.44495,-1.67581,-4.55096
316,-5.30274,-5.4851,-1.84889,-4.45162
317,-5.35675,-5.51742,-1.84818,-4.44708
318,-5.50399,-5.39926,-1.89291,-4.48276
319,-5.33736,-5.36292,-1.76736,-4.43399
320,-5.35519,-5.44033,-1.75031,-4.52365
321,-5.04905,-5.54746,-1.67913,-4.51212
322,-5.20079,-5.40327,-1.79447,-4.53442
323,-5.33121,-5.52309,-1.66347,-4.50767
324,-4.81683,-5.45075,-1.77665,-4.58387
325,-5.08578,-5.40728,-1.78043,-4.61761
326,-5.35285,-5.38382,-1.75397,-4.55548
327,-5.45981,-5.6171,-1.6316,-4.51207
328,-5.56119,-5.52409,-1.62781,-4.56879
329,-5.48018,-5.51699,-1.85236,-4.48722
330,-5.33114,-5.49941,-1.84607,-4.5132
331,-5.31159,-5.52296,-1.85925,-4.49858
332,-5.42278,-5.52637,-1.71478,-4.39809
